name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;299;0;587;3185;1919;3185;1689;0
header;284;202;284;245;1916;245;1916;202
A;1088;270;1088;296;1107;296;1107;270
A;1601;596;1601;611;1609;611;1609;596
B;1572;688;1572;703;1580;703;1580;688
A;598;823;598;838;605;838;605;823
B;1090;943;1090;970;1108;970;1108;943
A;1126;1144;1126;1159;1134;1159;1134;1144
B;1273;1233;1273;1249;1281;1249;1281;1233
A;1763;1279;1763;1295;1771;1295;1771;1279
C;1088;1617;1088;1645;1109;1645;1109;1617
D;1204;1795;1204;1808;1215;1808;1215;1795
A;770;1824;770;1827;771;1827;771;1824
A;1275;1889;1275;1897;1282;1897;1282;1889
A;1305;1890;1305;1905;1312;1905;1312;1890
B;969;2026;969;2041;977;2041;977;2026
A;1097;2236;1097;2236;1097;2236;1097;2236
D;1091;2290;1091;2318;1113;2318;1113;2290
D;689;2370;689;2415;725;2415;725;2370
A;844;2370;844;2411;854;2411;854;2370
B;816;2371;816;2411;826;2411;826;2371
B;665;2372;665;2414;677;2414;677;2372
A;1691;2401;1691;2410;1702;2410;1702;2401
B;1171;2793;1171;2809;1195;2809;1195;2793
B;571;2796;571;2811;593;2811;593;2796
A;1398;2936;1398;2936;1398;2936;1398;2936
A;1339;2992;1339;2995;1344;2995;1344;2992
