name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;947;0;1142;3247;1682;3247;1463;0
header;266;196;266;237;1904;237;1904;196
A;1073;256;1073;283;1095;283;1095;256
A;1248;662;1248;662;1249;662;1249;662
B;1083;923;1083;953;1107;953;1107;923
A;1125;997;1125;1012;1133;1012;1133;997
A;1273;1054;1273;1065;1279;1065;1279;1054
A;1126;1456;1126;1472;1134;1472;1134;1456
C;1084;1594;1084;1624;1107;1624;1107;1594
B;1123;2183;1123;2209;1158;2209;1158;2183
D;1086;2260;1086;2289;1109;2289;1109;2260
A;1345;2355;1345;2381;1359;2381;1359;2355
B;1300;2788;1300;2803;1323;2803;1323;2788
A;1410;3054;1410;3058;1415;3058;1415;3054
